step,episode,episode_reward,env,seed,agent
1020000,1020,992.1,ball_in_cup_catch,1,DrQ
1030000,1030,976.0,ball_in_cup_catch,1,DrQ
1040000,1040,951.7,ball_in_cup_catch,1,DrQ
1050000,1050,975.3,ball_in_cup_catch,1,DrQ
1060000,1060,978.2,ball_in_cup_catch,1,DrQ
1070000,1070,980.8,ball_in_cup_catch,1,DrQ
1080000,1080,961.8,ball_in_cup_catch,1,DrQ
1090000,1090,978.0,ball_in_cup_catch,1,DrQ
1100000,1100,963.3,ball_in_cup_catch,1,DrQ
1110000,1110,971.8,ball_in_cup_catch,1,DrQ
1120000,1120,981.2,ball_in_cup_catch,1,DrQ
1130000,1130,986.2,ball_in_cup_catch,1,DrQ
1140000,1140,978.4,ball_in_cup_catch,1,DrQ
1150000,1150,976.5,ball_in_cup_catch,1,DrQ
1160000,1160,970.6,ball_in_cup_catch,1,DrQ
1170000,1170,977.1,ball_in_cup_catch,1,DrQ
1180000,1180,976.2,ball_in_cup_catch,1,DrQ
1190000,1190,977.8,ball_in_cup_catch,1,DrQ
1200000,1200,981.7,ball_in_cup_catch,1,DrQ
1210000,1210,973.9,ball_in_cup_catch,1,DrQ
1220000,1220,983.5,ball_in_cup_catch,1,DrQ
1230000,1230,972.6,ball_in_cup_catch,1,DrQ
1240000,1240,970.9,ball_in_cup_catch,1,DrQ
1250000,1250,984.2,ball_in_cup_catch,1,DrQ
1260000,1260,986.9,ball_in_cup_catch,1,DrQ
1270000,1270,965.8,ball_in_cup_catch,1,DrQ
1280000,1280,975.5,ball_in_cup_catch,1,DrQ
1290000,1290,980.1,ball_in_cup_catch,1,DrQ
1300000,1300,980.4,ball_in_cup_catch,1,DrQ
1310000,1310,975.6,ball_in_cup_catch,1,DrQ
1320000,1320,955.7,ball_in_cup_catch,1,DrQ
1330000,1330,985.6,ball_in_cup_catch,1,DrQ
1340000,1340,967.7,ball_in_cup_catch,1,DrQ
1350000,1350,980.0,ball_in_cup_catch,1,DrQ
1360000,1360,974.2,ball_in_cup_catch,1,DrQ
1370000,1370,977.7,ball_in_cup_catch,1,DrQ
1380000,1380,981.5,ball_in_cup_catch,1,DrQ
1390000,1390,979.8,ball_in_cup_catch,1,DrQ
1400000,1400,980.7,ball_in_cup_catch,1,DrQ
1410000,1410,974.8,ball_in_cup_catch,1,DrQ
1420000,1420,967.3,ball_in_cup_catch,1,DrQ
1430000,1430,975.2,ball_in_cup_catch,1,DrQ
1440000,1440,969.8,ball_in_cup_catch,1,DrQ
1450000,1450,977.8,ball_in_cup_catch,1,DrQ
1460000,1460,976.7,ball_in_cup_catch,1,DrQ
1470000,1470,976.2,ball_in_cup_catch,1,DrQ
1480000,1480,983.0,ball_in_cup_catch,1,DrQ
1490000,1490,974.1,ball_in_cup_catch,1,DrQ
1500000,1500,981.2,ball_in_cup_catch,1,DrQ
1510000,1510,976.7,ball_in_cup_catch,1,DrQ
1520000,1520,976.0,ball_in_cup_catch,1,DrQ
1530000,1530,950.6,ball_in_cup_catch,1,DrQ
1540000,1540,968.1,ball_in_cup_catch,1,DrQ
1550000,1550,970.5,ball_in_cup_catch,1,DrQ
1560000,1560,982.6,ball_in_cup_catch,1,DrQ
1570000,1570,965.5,ball_in_cup_catch,1,DrQ
1580000,1580,988.7,ball_in_cup_catch,1,DrQ
1590000,1590,975.3,ball_in_cup_catch,1,DrQ
1600000,1600,976.9,ball_in_cup_catch,1,DrQ
1610000,1610,974.0,ball_in_cup_catch,1,DrQ
1620000,1620,970.6,ball_in_cup_catch,1,DrQ
1630000,1630,983.3,ball_in_cup_catch,1,DrQ
1640000,1640,985.4,ball_in_cup_catch,1,DrQ
1650000,1650,966.9,ball_in_cup_catch,1,DrQ
1660000,1660,974.6,ball_in_cup_catch,1,DrQ
1670000,1670,978.3,ball_in_cup_catch,1,DrQ
1680000,1680,977.2,ball_in_cup_catch,1,DrQ
1690000,1690,979.3,ball_in_cup_catch,1,DrQ
1700000,1700,976.6,ball_in_cup_catch,1,DrQ
1710000,1710,971.1,ball_in_cup_catch,1,DrQ
1720000,1720,968.4,ball_in_cup_catch,1,DrQ
1730000,1730,978.6,ball_in_cup_catch,1,DrQ
1740000,1740,970.7,ball_in_cup_catch,1,DrQ
1750000,1750,979.8,ball_in_cup_catch,1,DrQ
1760000,1760,975.3,ball_in_cup_catch,1,DrQ
1770000,1770,978.0,ball_in_cup_catch,1,DrQ
1780000,1780,973.0,ball_in_cup_catch,1,DrQ
1790000,1790,980.1,ball_in_cup_catch,1,DrQ
1800000,1800,979.0,ball_in_cup_catch,1,DrQ
1810000,1810,978.8,ball_in_cup_catch,1,DrQ
1820000,1820,978.1,ball_in_cup_catch,1,DrQ
1830000,1830,986.2,ball_in_cup_catch,1,DrQ
1840000,1840,977.9,ball_in_cup_catch,1,DrQ
1850000,1850,980.6,ball_in_cup_catch,1,DrQ
1860000,1860,970.8,ball_in_cup_catch,1,DrQ
1870000,1870,978.8,ball_in_cup_catch,1,DrQ
1880000,1880,975.8,ball_in_cup_catch,1,DrQ
1890000,1890,971.7,ball_in_cup_catch,1,DrQ
1900000,1900,980.3,ball_in_cup_catch,1,DrQ
1910000,1910,953.1,ball_in_cup_catch,1,DrQ
1920000,1920,979.0,ball_in_cup_catch,1,DrQ
1930000,1930,939.1,ball_in_cup_catch,1,DrQ
1940000,1940,982.7,ball_in_cup_catch,1,DrQ
1950000,1950,976.6,ball_in_cup_catch,1,DrQ
1960000,1960,962.8,ball_in_cup_catch,1,DrQ
1970000,1970,980.7,ball_in_cup_catch,1,DrQ
1980000,1980,980.3,ball_in_cup_catch,1,DrQ
1990000,1990,973.6,ball_in_cup_catch,1,DrQ
2000000,2000,979.4,ball_in_cup_catch,1,DrQ
2010000,2010,978.6,ball_in_cup_catch,1,DrQ
2020000,2020,984.8,ball_in_cup_catch,1,DrQ
2030000,2030,985.1,ball_in_cup_catch,1,DrQ
2040000,2040,979.3,ball_in_cup_catch,1,DrQ
2050000,2050,983.8,ball_in_cup_catch,1,DrQ
2060000,2060,978.4,ball_in_cup_catch,1,DrQ
2070000,2070,965.0,ball_in_cup_catch,1,DrQ
2080000,2080,974.3,ball_in_cup_catch,1,DrQ
2090000,2090,975.2,ball_in_cup_catch,1,DrQ
2100000,2100,966.7,ball_in_cup_catch,1,DrQ
2110000,2110,962.6,ball_in_cup_catch,1,DrQ
2120000,2120,983.7,ball_in_cup_catch,1,DrQ
2130000,2130,981.8,ball_in_cup_catch,1,DrQ
2140000,2140,977.7,ball_in_cup_catch,1,DrQ
2150000,2150,983.6,ball_in_cup_catch,1,DrQ
2160000,2160,973.6,ball_in_cup_catch,1,DrQ
2170000,2170,989.0,ball_in_cup_catch,1,DrQ
2180000,2180,976.5,ball_in_cup_catch,1,DrQ
2190000,2190,963.1,ball_in_cup_catch,1,DrQ
2200000,2200,968.3,ball_in_cup_catch,1,DrQ
2210000,2210,967.1,ball_in_cup_catch,1,DrQ
2220000,2220,963.3,ball_in_cup_catch,1,DrQ
2230000,2230,971.7,ball_in_cup_catch,1,DrQ
2240000,2240,979.8,ball_in_cup_catch,1,DrQ
2250000,2250,981.9,ball_in_cup_catch,1,DrQ
2260000,2260,984.9,ball_in_cup_catch,1,DrQ
2270000,2270,967.8,ball_in_cup_catch,1,DrQ
2280000,2280,971.7,ball_in_cup_catch,1,DrQ
2290000,2290,971.4,ball_in_cup_catch,1,DrQ
2300000,2300,974.5,ball_in_cup_catch,1,DrQ
0,0,96.1,ball_in_cup_catch,7,DrQ
10000,10,0.0,ball_in_cup_catch,7,DrQ
20000,20,99.5,ball_in_cup_catch,7,DrQ
30000,30,98.2,ball_in_cup_catch,7,DrQ
40000,40,0.0,ball_in_cup_catch,7,DrQ
50000,50,0.0,ball_in_cup_catch,7,DrQ
60000,60,0.0,ball_in_cup_catch,7,DrQ
70000,70,454.5,ball_in_cup_catch,7,DrQ
80000,80,497.2,ball_in_cup_catch,7,DrQ
90000,90,344.0,ball_in_cup_catch,7,DrQ
100000,100,575.9,ball_in_cup_catch,7,DrQ
110000,110,339.5,ball_in_cup_catch,7,DrQ
120000,120,859.8,ball_in_cup_catch,7,DrQ
130000,130,827.8,ball_in_cup_catch,7,DrQ
140000,140,925.2,ball_in_cup_catch,7,DrQ
150000,150,942.5,ball_in_cup_catch,7,DrQ
160000,160,950.0,ball_in_cup_catch,7,DrQ
170000,170,952.1,ball_in_cup_catch,7,DrQ
180000,180,956.0,ball_in_cup_catch,7,DrQ
190000,190,947.6,ball_in_cup_catch,7,DrQ
200000,200,954.1,ball_in_cup_catch,7,DrQ
210000,210,968.2,ball_in_cup_catch,7,DrQ
220000,220,949.2,ball_in_cup_catch,7,DrQ
230000,230,964.3,ball_in_cup_catch,7,DrQ
240000,240,954.9,ball_in_cup_catch,7,DrQ
250000,250,949.9,ball_in_cup_catch,7,DrQ
260000,260,960.5,ball_in_cup_catch,7,DrQ
270000,270,961.3,ball_in_cup_catch,7,DrQ
280000,280,961.3,ball_in_cup_catch,7,DrQ
290000,290,960.9,ball_in_cup_catch,7,DrQ
300000,300,964.3,ball_in_cup_catch,7,DrQ
310000,310,969.4,ball_in_cup_catch,7,DrQ
320000,320,968.0,ball_in_cup_catch,7,DrQ
330000,330,950.3,ball_in_cup_catch,7,DrQ
340000,340,967.8,ball_in_cup_catch,7,DrQ
350000,350,962.0,ball_in_cup_catch,7,DrQ
360000,360,956.9,ball_in_cup_catch,7,DrQ
370000,370,943.1,ball_in_cup_catch,7,DrQ
380000,380,980.1,ball_in_cup_catch,7,DrQ
390000,390,964.4,ball_in_cup_catch,7,DrQ
400000,400,941.6,ball_in_cup_catch,7,DrQ
410000,410,965.9,ball_in_cup_catch,7,DrQ
420000,420,964.6,ball_in_cup_catch,7,DrQ
430000,430,870.2,ball_in_cup_catch,7,DrQ
440000,440,968.7,ball_in_cup_catch,7,DrQ
450000,450,932.1,ball_in_cup_catch,7,DrQ
460000,460,934.7,ball_in_cup_catch,7,DrQ
470000,470,964.2,ball_in_cup_catch,7,DrQ
480000,480,952.6,ball_in_cup_catch,7,DrQ
490000,490,930.5,ball_in_cup_catch,7,DrQ
500000,500,968.8,ball_in_cup_catch,7,DrQ
510000,510,957.9,ball_in_cup_catch,7,DrQ
520000,520,974.6,ball_in_cup_catch,7,DrQ
530000,530,955.8,ball_in_cup_catch,7,DrQ
540000,540,951.6,ball_in_cup_catch,7,DrQ
550000,550,965.1,ball_in_cup_catch,7,DrQ
560000,560,975.4,ball_in_cup_catch,7,DrQ
570000,570,970.0,ball_in_cup_catch,7,DrQ
580000,580,965.6,ball_in_cup_catch,7,DrQ
590000,590,968.2,ball_in_cup_catch,7,DrQ
600000,600,960.5,ball_in_cup_catch,7,DrQ
610000,610,970.0,ball_in_cup_catch,7,DrQ
620000,620,966.8,ball_in_cup_catch,7,DrQ
630000,630,968.8,ball_in_cup_catch,7,DrQ
640000,640,971.1,ball_in_cup_catch,7,DrQ
650000,650,958.8,ball_in_cup_catch,7,DrQ
660000,660,967.9,ball_in_cup_catch,7,DrQ
670000,670,974.9,ball_in_cup_catch,7,DrQ
680000,680,969.2,ball_in_cup_catch,7,DrQ
690000,690,965.5,ball_in_cup_catch,7,DrQ
700000,700,971.0,ball_in_cup_catch,7,DrQ
710000,710,962.2,ball_in_cup_catch,7,DrQ
720000,720,971.8,ball_in_cup_catch,7,DrQ
730000,730,970.0,ball_in_cup_catch,7,DrQ
740000,740,983.4,ball_in_cup_catch,7,DrQ
750000,750,955.1,ball_in_cup_catch,7,DrQ
760000,760,972.3,ball_in_cup_catch,7,DrQ
770000,770,961.7,ball_in_cup_catch,7,DrQ
780000,780,963.1,ball_in_cup_catch,7,DrQ
790000,790,978.0,ball_in_cup_catch,7,DrQ
800000,800,979.8,ball_in_cup_catch,7,DrQ
810000,810,970.2,ball_in_cup_catch,7,DrQ
820000,820,963.3,ball_in_cup_catch,7,DrQ
830000,830,978.8,ball_in_cup_catch,7,DrQ
840000,840,971.0,ball_in_cup_catch,7,DrQ
850000,850,970.7,ball_in_cup_catch,7,DrQ
860000,860,971.5,ball_in_cup_catch,7,DrQ
870000,870,976.7,ball_in_cup_catch,7,DrQ
880000,880,969.6,ball_in_cup_catch,7,DrQ
890000,890,968.8,ball_in_cup_catch,7,DrQ
900000,900,967.6,ball_in_cup_catch,7,DrQ
910000,910,972.0,ball_in_cup_catch,7,DrQ
920000,920,963.4,ball_in_cup_catch,7,DrQ
930000,930,974.0,ball_in_cup_catch,7,DrQ
940000,940,970.6,ball_in_cup_catch,7,DrQ
950000,950,975.6,ball_in_cup_catch,7,DrQ
960000,960,959.4,ball_in_cup_catch,7,DrQ
970000,970,967.4,ball_in_cup_catch,7,DrQ
980000,980,967.8,ball_in_cup_catch,7,DrQ
990000,990,966.8,ball_in_cup_catch,7,DrQ
1000000,1000,956.7,ball_in_cup_catch,7,DrQ
1010000,1010,969.9,ball_in_cup_catch,7,DrQ
1020000,1020,974.3,ball_in_cup_catch,7,DrQ
1030000,1030,973.0,ball_in_cup_catch,7,DrQ
1040000,1040,968.0,ball_in_cup_catch,7,DrQ
1050000,1050,971.8,ball_in_cup_catch,7,DrQ
1060000,1060,974.1,ball_in_cup_catch,7,DrQ
1070000,1070,967.9,ball_in_cup_catch,7,DrQ
1080000,1080,972.3,ball_in_cup_catch,7,DrQ
1090000,1090,971.5,ball_in_cup_catch,7,DrQ
1100000,1100,963.5,ball_in_cup_catch,7,DrQ
1110000,1110,977.1,ball_in_cup_catch,7,DrQ
1120000,1120,959.8,ball_in_cup_catch,7,DrQ
1130000,1130,964.7,ball_in_cup_catch,7,DrQ
1140000,1140,971.4,ball_in_cup_catch,7,DrQ
1150000,1150,963.4,ball_in_cup_catch,7,DrQ
1160000,1160,963.1,ball_in_cup_catch,7,DrQ
1170000,1170,969.3,ball_in_cup_catch,7,DrQ
1180000,1180,977.4,ball_in_cup_catch,7,DrQ
1190000,1190,969.4,ball_in_cup_catch,7,DrQ
1200000,1200,966.1,ball_in_cup_catch,7,DrQ
1210000,1210,967.2,ball_in_cup_catch,7,DrQ
1220000,1220,969.5,ball_in_cup_catch,7,DrQ
1230000,1230,968.4,ball_in_cup_catch,7,DrQ
1240000,1240,974.1,ball_in_cup_catch,7,DrQ
1250000,1250,956.7,ball_in_cup_catch,7,DrQ
1260000,1260,980.8,ball_in_cup_catch,7,DrQ
1270000,1270,977.9,ball_in_cup_catch,7,DrQ
1280000,1280,975.7,ball_in_cup_catch,7,DrQ
1290000,1290,963.0,ball_in_cup_catch,7,DrQ
1300000,1300,960.7,ball_in_cup_catch,7,DrQ
1310000,1310,967.8,ball_in_cup_catch,7,DrQ
1320000,1320,966.5,ball_in_cup_catch,7,DrQ
1330000,1330,971.1,ball_in_cup_catch,7,DrQ
1340000,1340,962.7,ball_in_cup_catch,7,DrQ
1350000,1350,978.3,ball_in_cup_catch,7,DrQ
1360000,1360,969.3,ball_in_cup_catch,7,DrQ
1370000,1370,965.7,ball_in_cup_catch,7,DrQ
1380000,1380,968.2,ball_in_cup_catch,7,DrQ
1390000,1390,967.7,ball_in_cup_catch,7,DrQ
1400000,1400,969.2,ball_in_cup_catch,7,DrQ
1410000,1410,962.2,ball_in_cup_catch,7,DrQ
1420000,1420,972.5,ball_in_cup_catch,7,DrQ
1430000,1430,970.3,ball_in_cup_catch,7,DrQ
1440000,1440,973.3,ball_in_cup_catch,7,DrQ
1450000,1450,971.4,ball_in_cup_catch,7,DrQ
1460000,1460,975.0,ball_in_cup_catch,7,DrQ
1470000,1470,871.2,ball_in_cup_catch,7,DrQ
1480000,1480,980.5,ball_in_cup_catch,7,DrQ
1490000,1490,970.5,ball_in_cup_catch,7,DrQ
1500000,1500,974.0,ball_in_cup_catch,7,DrQ
1510000,1510,970.0,ball_in_cup_catch,7,DrQ
1520000,1520,972.3,ball_in_cup_catch,7,DrQ
1530000,1530,971.1,ball_in_cup_catch,7,DrQ
1540000,1540,982.7,ball_in_cup_catch,7,DrQ
1550000,1550,962.6,ball_in_cup_catch,7,DrQ
1560000,1560,968.1,ball_in_cup_catch,7,DrQ
1570000,1570,972.5,ball_in_cup_catch,7,DrQ
1580000,1580,960.5,ball_in_cup_catch,7,DrQ
1590000,1590,964.9,ball_in_cup_catch,7,DrQ
1600000,1600,971.4,ball_in_cup_catch,7,DrQ
1610000,1610,963.7,ball_in_cup_catch,7,DrQ
1620000,1620,965.3,ball_in_cup_catch,7,DrQ
1630000,1630,959.4,ball_in_cup_catch,7,DrQ
1640000,1640,963.3,ball_in_cup_catch,7,DrQ
1650000,1650,972.4,ball_in_cup_catch,7,DrQ
1660000,1660,967.3,ball_in_cup_catch,7,DrQ
1670000,1670,976.1,ball_in_cup_catch,7,DrQ
1680000,1680,962.3,ball_in_cup_catch,7,DrQ
1690000,1690,977.5,ball_in_cup_catch,7,DrQ
1700000,1700,968.2,ball_in_cup_catch,7,DrQ
1710000,1710,964.3,ball_in_cup_catch,7,DrQ
1720000,1720,969.2,ball_in_cup_catch,7,DrQ
1730000,1730,971.7,ball_in_cup_catch,7,DrQ
1740000,1740,966.4,ball_in_cup_catch,7,DrQ
1750000,1750,977.7,ball_in_cup_catch,7,DrQ
1760000,1760,952.3,ball_in_cup_catch,7,DrQ
1770000,1770,966.8,ball_in_cup_catch,7,DrQ
1780000,1780,967.9,ball_in_cup_catch,7,DrQ
1790000,1790,979.5,ball_in_cup_catch,7,DrQ
1800000,1800,969.0,ball_in_cup_catch,7,DrQ
1810000,1810,972.4,ball_in_cup_catch,7,DrQ
1820000,1820,965.4,ball_in_cup_catch,7,DrQ
1830000,1830,970.9,ball_in_cup_catch,7,DrQ
1840000,1840,971.2,ball_in_cup_catch,7,DrQ
1850000,1850,968.2,ball_in_cup_catch,7,DrQ
1860000,1860,974.9,ball_in_cup_catch,7,DrQ
1870000,1870,965.1,ball_in_cup_catch,7,DrQ
1880000,1880,968.6,ball_in_cup_catch,7,DrQ
1890000,1890,959.0,ball_in_cup_catch,7,DrQ
1900000,1900,954.6,ball_in_cup_catch,7,DrQ
1910000,1910,966.1,ball_in_cup_catch,7,DrQ
1920000,1920,970.0,ball_in_cup_catch,7,DrQ
1930000,1930,962.0,ball_in_cup_catch,7,DrQ
1940000,1940,968.2,ball_in_cup_catch,7,DrQ
1950000,1950,970.1,ball_in_cup_catch,7,DrQ
1960000,1960,965.1,ball_in_cup_catch,7,DrQ
1970000,1970,965.4,ball_in_cup_catch,7,DrQ
1980000,1980,967.0,ball_in_cup_catch,7,DrQ
1990000,1990,960.4,ball_in_cup_catch,7,DrQ
2000000,2000,974.1,ball_in_cup_catch,7,DrQ
2010000,2010,971.8,ball_in_cup_catch,7,DrQ
2020000,2020,979.5,ball_in_cup_catch,7,DrQ
2030000,2030,964.2,ball_in_cup_catch,7,DrQ
2040000,2040,967.0,ball_in_cup_catch,7,DrQ
2050000,2050,968.2,ball_in_cup_catch,7,DrQ
2060000,2060,972.2,ball_in_cup_catch,7,DrQ
2070000,2070,962.6,ball_in_cup_catch,7,DrQ
2080000,2080,964.7,ball_in_cup_catch,7,DrQ
2090000,2090,875.8,ball_in_cup_catch,7,DrQ
2100000,2100,965.9,ball_in_cup_catch,7,DrQ
2110000,2110,975.0,ball_in_cup_catch,7,DrQ
2120000,2120,966.6,ball_in_cup_catch,7,DrQ
2130000,2130,966.6,ball_in_cup_catch,7,DrQ
2140000,2140,963.1,ball_in_cup_catch,7,DrQ
2150000,2150,958.8,ball_in_cup_catch,7,DrQ
2160000,2160,963.8,ball_in_cup_catch,7,DrQ
2170000,2170,973.2,ball_in_cup_catch,7,DrQ
2180000,2180,966.4,ball_in_cup_catch,7,DrQ
2190000,2190,968.9,ball_in_cup_catch,7,DrQ
